86.76,172,85,2,orange
88.05,166,78,3,orange
95.17,156,81,2,orange
95.6,163,81,4,orange
95.76,161,72,9,orange
95.86,142,100,2,orange
97.94,156,85,2,orange
98.5,142,74,2,orange
100.2,159,90,16,orange
100.31,161,76,6,orange
101.33,148,88,2,orange
101.66,166,69,2,orange
101.8,166,98,13,orange
102.56,166,86,6,orange
103.06,170,82,2,orange
103.1,162,87,12,orange
103.44,166,78,5,orange
103.46,151,79,2,orange
104.01,168,79,22,orange
104.1,179,73,2,orange
104.19,162,79,2,orange
104.56,156,94,2,orange
104.7,169,86,2,orange
104.82,146,84,2,orange
104.98,154,87,6,orange
105.22,168,82,2,orange
105.42,162,79,2,orange
105.47,161,75,10,orange
105.6,153,90,2,orange
105.62,157,85,15,orange
105.68,155,94,6,orange
106.29,155,93,2,orange
106.43,171,82,2,orange
106.85,159,84,13,orange
106.9,162,93,2,orange
106.94,145,82,2,orange
106.94,173,75,3,orange
107.01,158,97,2,orange
107.3,164,86,4,orange
107.64,178,92,7,orange
107.77,177,76,2,orange
107.85,171,75,23,orange
108.16,163,93,8,orange
108.18,148,81,2,orange
108.54,157,98,2,orange
108.63,145,75,18,orange
108.69,162,90,2,orange
108.85,170,82,11,orange
108.93,165,67,8,orange
109.16,146,72,2,orange
109.32,167,88,4,orange
109.37,128,87,4,orange
109.49,177,80,2,orange
109.49,150,98,5,orange
109.52,165,88,7,orange
109.59,157,82,3,orange
110.36,140,65,5,orange
110.4,169,76,3,orange
110.42,150,87,2,orange
110.47,145,81,9,orange
110.75,159,83,2,orange
110.89,160,73,3,orange
110.9,168,75,19,orange
111,167,74,2,orange
111.1,171,72,2,orange
111.16,165,84,2,orange
111.29,158,69,8,orange
111.31,167,104,2,orange
111.53,161,74,2,orange
111.59,138,78,14,orange
111.66,155,70,2,orange
111.69,158,107,3,orange
111.83,154,98,10,orange
111.88,163,86,3,orange
111.94,164,94,2,orange
111.95,165,78,2,orange
112.1,150,85,6,orange
112.15,137,76,9,orange
112.41,164,81,8,orange
112.7,168,78,2,orange
112.73,151,82,2,orange
112.77,154,62,20,orange
113.01,156,91,2,orange
113.14,164,95,2,orange
113.23,141,85,2,orange
113.26,169,66,2,orange
113.46,163,89,18,orange
113.62,155,87,2,orange
113.63,151,86,2,orange
113.66,156,68,4,orange
113.79,149,68,2,orange
113.79,168,94,30,orange
113.94,146,78,8,orange
114.17,150,95,2,orange
114.18,142,101,9,orange
114.3,163,76,2,orange
114.31,150,90,2,orange
114.39,144,73,2,orange
114.44,139,105,2,orange
114.48,165,68,2,orange
114.58,142,93,2,orange
114.64,165,87,15,orange
114.87,143,92,2,orange
114.92,161,98,11,orange
114.96,173,75,12,orange
114.96,152,84,17,orange
114.97,160,87,2,orange
114.97,161,93,3,orange
115.02,158,70,9,orange
115.03,138,70,9,orange
115.04,147,74,2,orange
115.16,168,77,9,orange
115.18,160,83,2,orange
115.23,154,73,22,orange
115.24,153,74,5,orange
115.29,163,72,27,orange
115.37,153,84,2,orange
115.4,171,91,2,orange
115.46,155,93,2,orange
115.46,156,109,2,orange
115.55,144,82,14,orange
115.55,157,92,14,orange
115.59,180,80,2,orange
115.79,169,69,7,orange
115.82,154,78,2,orange
115.85,149,82,6,orange
115.89,156,84,2,orange
115.94,163,86,2,orange
116.21,157,97,5,orange
116.22,143,85,18,orange
116.27,166,81,11,orange
116.29,163,67,19,orange
116.32,163,88,15,orange
116.34,153,78,2,orange
116.35,169,72,2,orange
116.36,154,69,4,orange
116.4,160,70,8,orange
116.4,151,91,2,orange
116.41,158,73,2,orange
116.56,149,77,27,orange
116.56,151,76,6,orange
116.83,156,99,2,orange
116.88,140,93,2,orange
116.9,160,77,4,orange
116.9,150,85,2,orange
116.92,167,101,8,orange
116.93,156,89,2,orange
117.01,170,83,13,orange
117.1,164,83,2,orange
117.13,142,93,10,orange
117.14,155,88,18,orange
117.17,152,73,4,orange
117.18,143,78,7,orange
117.2,165,97,2,orange
117.21,161,93,12,orange
117.21,167,78,3,orange
117.28,160,77,2,orange
117.28,151,72,17,orange
117.5,168,74,2,orange
117.52,167,86,2,orange
117.57,147,79,9,orange
117.66,162,79,2,orange
117.81,163,75,17,orange
117.86,174,85,8,orange
117.93,173,89,8,orange
117.98,165,78,17,orange
118.04,159,104,10,orange
118.21,158,67,5,orange
118.27,151,81,2,orange
118.32,159,97,2,orange
118.33,154,90,12,orange
118.4,151,72,21,orange
118.48,176,87,15,orange
118.55,163,89,2,orange
118.62,173,95,2,orange
118.65,149,73,21,orange
118.77,178,75,6,orange
118.82,160,79,17,orange
118.9,150,78,2,orange
119.08,160,53,7,orange
119.12,144,89,2,orange
119.26,162,89,3,orange
119.3,159,89,2,orange
119.31,138,79,10,orange
119.32,150,77,4,orange
119.34,160,67,2,orange
119.35,162,84,2,orange
119.38,154,59,4,orange
119.41,152,85,14,orange
119.45,166,89,5,orange
119.48,146,79,2,orange
119.52,142,68,13,orange
119.63,160,69,4,orange
119.76,166,96,2,orange
119.8,172,85,16,orange
119.9,145,99,8,orange
119.97,167,78,2,orange
119.98,145,69,12,orange
120.03,162,75,2,orange
120.03,165,90,2,orange
120.04,138,81,4,orange
120.04,145,80,17,orange
120.06,153,93,2,orange
120.09,169,86,2,orange
120.1,149,81,2,orange
120.11,164,86,5,orange
120.14,149,61,2,orange
120.16,167,96,16,orange
120.26,168,87,11,orange
120.29,147,79,2,orange
120.47,169,66,2,orange
120.5,152,81,2,orange
120.51,165,65,2,orange
120.63,153,87,18,orange
120.65,144,81,19,orange
120.66,152,80,2,orange
120.66,146,92,22,orange
120.71,159,84,2,orange
120.74,153,63,2,orange
120.78,156,82,5,orange
120.79,156,81,13,orange
120.93,134,76,17,orange
120.94,153,98,2,orange
120.95,150,67,2,orange
121.04,140,67,14,orange
121.04,145,88,10,orange
121.04,166,84,9,orange
121.06,152,72,5,orange
121.18,166,96,3,orange
121.27,167,90,6,orange
121.27,165,92,20,orange
121.33,154,86,2,orange
121.36,163,93,10,orange
121.36,161,85,2,orange
121.43,144,71,2,orange
121.46,143,85,9,orange
121.49,171,95,28,orange
121.51,160,88,8,orange
121.51,151,87,2,orange
121.53,135,72,2,orange
121.53,157,73,2,orange
121.55,156,80,17,orange
121.59,156,95,8,orange
121.61,158,83,19,orange
121.64,151,83,12,orange
121.7,155,73,10,orange
121.72,163,74,2,orange
121.73,142,94,2,orange
121.74,146,78,10,orange
121.76,185,80,8,orange
121.86,161,89,2,orange
121.88,156,79,10,orange
121.94,180,58,24,orange
121.95,168,86,2,orange
121.96,161,87,2,orange
122.03,160,91,2,orange
122.05,156,69,9,orange
122.08,155,72,2,orange
122.09,172,95,2,orange
122.14,140,90,14,orange
122.2,155,83,17,orange
122.21,169,77,2,orange
122.27,146,98,5,orange
122.32,178,80,8,orange
122.35,159,84,2,orange
122.36,171,92,2,orange
122.38,170,68,2,orange
